react_name,canonical_smiles,raw_energy,relative_energy,normalize_energy
C73580,CC1=C(C)[C@H](C)[C@@H](C)[C+]1C,-390.86889268217953,-44.08032342513277,0.0
C73584,CC1=C(C)[C@@H](C)[C@H](C)[C+]1C,-390.868891835313,-44.07979200832393,6.933493700835229e-06
C74134,CC1=C(C)[C+](C)C(C)(C)C1,-390.8688018701687,-44.023338025608176,0.0007434990803273
C83491,CC1=C(C)C(C)(C)C[C+]1C,-390.8688009388925,-44.02275364095159,0.000751123655365
C48764,CC[C+]1C[C@@H](C)C(C)=C1C,-390.86761795618736,-43.28042075514586,0.0104364785444738
C44856,CCC1=C(C)[C+](C)[C@@H](C)C1,-390.8675966837996,-43.26707212974173,0.0106106405367456
C49914,CCC1=C(C)[C+](C)[C@H](C)C1,-390.8675960335196,-43.26666407285484,0.0106159645306573
C47858,CC[C+]1C[C@H](C)C(C)=C1C,-390.86737442871913,-43.12760495532158,0.0124302946373102
C57042,CCC[C+]1CCC(C)=C1C,-390.8671015275783,-42.95635689689758,0.0146645998279081
C45381,CCC1=C(C)[C+](C)C[C@@H]1C,-390.8668853235812,-42.820686834762576,0.016434712299995
C50393,CCC1=C(C)[C+](C)C[C@H]1C,-390.866884724532,-42.82031092569776,0.0164396168553076
C85177,CCC1=C(C)C[C@H](C)[C+]1C,-390.86684428166575,-42.79493264292719,0.0167707320191499
C21551,CC1=C(C)[C+](C(C)C)CC1,-390.8668143269367,-42.77613576589115,0.0170159783612993
C44898,CCC1=C(C)C[C@@H](C)[C+]1C,-390.86680112494287,-42.76785138933014,0.0171240661593244
C83535,CC1=C(C)[C@H](C)[C@H](C)[C+]1C,-390.8666351488681,-42.66369982564909,0.0184829509343289
C73576,CC1=C(C)[C@@H](C)[C@@H](C)[C+]1C,-390.8666025486117,-42.6432428550444,0.0187498568252722
C6881,CC[C@H]1C[C+](C)C(C)=C1C,-390.8664498984031,-42.547453398985546,0.0199996396306745
C50214,CC[C@@H]1C[C+](C)C(C)=C1C,-390.8663657320416,-42.49463820753496,0.0206887292325449
C53841,CCCC1=C(C)[C+](C)CC1,-390.8660933432857,-42.32371167552165,0.0229188394084085
C77824,CCC1=C(C)[C+](CC)CC1,-390.8659587454717,-42.239250268559545,0.0240208230555071
C85334,CCC1=C(C)CC[C+]1CC,-390.8649203193127,-41.58762798875695,0.03252265983819
